,date,rate
647,03.01.2022,27.2782
648,02.01.2022,27.2782
649,01.01.2022,27.2782
650,31.12.2021,27.2782
651,30.12.2021,27.2077
652,29.12.2021,27.2235
653,28.12.2021,27.2306
654,27.12.2021,27.2747
655,26.12.2021,27.2747
656,25.12.2021,27.2747
657,24.12.2021,27.2747
658,23.12.2021,27.2508
659,22.12.2021,27.2598
660,21.12.2021,27.2846
661,20.12.2021,27.2483
662,19.12.2021,27.1929
663,18.12.2021,27.1929
664,17.12.2021,27.1929
665,16.12.2021,27.196
666,15.12.2021,26.9985
667,14.12.2021,26.8846
668,13.12.2021,27.0241
669,12.12.2021,27.1013
670,11.12.2021,27.1013
671,10.12.2021,27.1013
672,09.12.2021,27.2167
673,08.12.2021,27.3317
674,07.12.2021,27.3791
675,06.12.2021,27.2981
676,05.12.2021,27.2933
677,04.12.2021,27.2933
678,03.12.2021,27.2933
679,02.12.2021,27.2296
680,01.12.2021,27.2142
681,30.11.2021,27.1739
682,29.11.2021,27.1033
683,28.11.2021,27.0256
684,27.11.2021,27.0256
685,26.11.2021,27.0256
686,25.11.2021,26.9273
687,24.11.2021,26.8604
688,23.11.2021,26.6588
689,22.11.2021,26.5694
690,21.11.2021,26.4427
691,20.11.2021,26.4427
692,19.11.2021,26.4427
693,18.11.2021,26.5147
694,17.11.2021,26.4133
695,16.11.2021,26.3371
696,15.11.2021,26.1107
697,14.11.2021,26.1022
698,13.11.2021,26.1022
699,12.11.2021,26.1022
700,11.11.2021,26.0575
701,10.11.2021,26.0927
702,09.11.2021,26.0806
703,08.11.2021,26.102
704,07.11.2021,26.19
705,06.11.2021,26.19
706,05.11.2021,26.19
707,04.11.2021,26.2431
708,03.11.2021,26.2904
709,02.11.2021,26.2933
710,01.11.2021,26.2767
711,31.10.2021,26.3265
712,30.10.2021,26.3265
713,29.10.2021,26.3265
714,28.10.2021,26.3712
715,27.10.2021,26.419
716,26.10.2021,26.3509
717,25.10.2021,26.2918
718,24.10.2021,26.2918
719,23.10.2021,26.2918
720,22.10.2021,26.2016
721,21.10.2021,26.2078
722,20.10.2021,26.272
723,19.10.2021,26.3356
724,18.10.2021,26.3419
725,17.10.2021,26.349
726,16.10.2021,26.349
727,15.10.2021,26.349
728,14.10.2021,26.349
729,13.10.2021,26.349
730,12.10.2021,26.36
731,11.10.2021,26.3515
